Mid/Sr Android Developer (Java/Kotlin)	Tầng 3, Tháp A, Tòa nhà Udic Complex, Lô NO4, KĐT Đông Nam, Hoàng Đạo Thúy, Phường Trung Hoà,, Cau Giay, Ha Noi	Welly Corp	https://itviec.com/viec-lam-it/mid-sr-android-developer-java-kotlin-welly-global-3759?lab_feature=preview_jd_page
Java Backend Developer (ERP, Oracle) Up to $1800	Tầng 23 tòa CEO, Đường Phạm Hùng, Mễ Trì, Nam Tu Liem, Ha Noi	With-IS Vina	https://itviec.com/viec-lam-it/java-backend-developer-erp-oracle-up-to-1800-with-is-vina-2422?lab_feature=preview_jd_page
Java Fullstack Dev ( JavaScript / CSS)	Tầng 6, Số 82 Trần Thái Tông, Cau Giay, Ha Noi	ICORP	https://itviec.com/viec-lam-it/java-fullstack-dev-javascript-css-icorp-2435?lab_feature=preview_jd_page
Java Developer (Kotlin, Spring)	Tầng 17 phòng 1737 tòa nhà discovery 302, Cau Giay, Ha Noi	Regain Datalab Việt Nam	https://itviec.com/viec-lam-it/java-developer-kotlin-spring-regain-datalab-viet-nam-3343?lab_feature=preview_jd_page
3 Android Mobile Apps (Java, Kotlin) Up to $1600	Tầng 31, tòa Keangnam Hanoi Landmark 72, Lô E6, Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội, Nam Tu Liem, Ha Noi	Extreme Việt Nam	https://itviec.com/viec-lam-it/3-android-mobile-apps-java-kotlin-up-to-1800-extreme-viet-nam-4929?lab_feature=preview_jd_page
Team Leader/ Senior Java Engineer	519 Kim Ma, Ba Dinh, Ha Noi	Toshiba Software Development (Viet Nam) Co, Ltd	https://itviec.com/viec-lam-it/team-leader-senior-java-engineer-toshiba-software-development-viet-nam-co-ltd-4138?lab_feature=preview_jd_page
Senior Backend Developer (Java) Up to $1700	521 Kim Ma, Ba Dinh, Ha Noi	Kofax Vietnam	https://itviec.com/viec-lam-it/senior-backend-developer-java-up-to-1700-kofax-vietnam-0639?lab_feature=preview_jd_page
Android Developer (Java, Kotlin) $1,200 - $2,000	Level 22, ICON4 Tower - near Dai hoc Giao thong van tai, Cau Giay, Ha Noi	MOBILE HEALTH VIETNAM	https://itviec.com/viec-lam-it/android-developer-1-200-2-000-java-kotlin-mobile-health-vietnam-4936?lab_feature=preview_jd_page
Senior Java (Spring/MySQL)	Tòa nhà MB bank, 21 Cát Linh, HN , Dong Da, Ha Noi	ATI JSC	https://itviec.com/viec-lam-it/senior-java-spring-mysql-ati-jsc-2634?lab_feature=preview_jd_page
Android Developer (Java, Kotlin)	45 Mễ Trì, Nam Tu Liem, Ha Noi	Infinity Technologies Global	https://itviec.com/viec-lam-it/android-developer-java-kotlin-infinity-technologies-global-1119?lab_feature=preview_jd_page
Software Developer (Python, Java, C#)	tầng 7, tòa nhà Cục Tần số vô tuyến điện, số 115 Trần Duy Hưng, Cau Giay, Ha Noi	Trung Tâm Chứng Thực Điện Tử Quốc Gia	https://itviec.com/viec-lam-it/software-developer-python-java-c-trung-tam-chung-thuc-dien-tu-quoc-gia-2139?lab_feature=preview_jd_page
Senior Backend Engineer (Java)	Tower 2 (T26) Times City, 458 Minh Khai, Hai Ba Trung, Ha Noi	One Mount Group	https://itviec.com/viec-lam-it/senior-backend-engineer-java-one-mount-group-3018?lab_feature=preview_jd_page
Android Developer (Java, Kotlin)	Tòa nhà Dolphin Plaza, Mỹ Đình, Nam Từ Liêm, Nam Tu Liem, Ha Noi	HACHIKIO CO.,LTD	https://itviec.com/viec-lam-it/android-developer-java-kotlin-hachikio-co-ltd-4557?lab_feature=preview_jd_page
Java Devs- Middle/Senior (Spring Boot, Jquery, SQL)	266 Doi Can, Ba Dinh, Ha Noi	DTS Software Vietnam	https://itviec.com/viec-lam-it/java-devs-middle-senior-spring-boot-jquery-sql-dts-software-vietnam-1812?lab_feature=preview_jd_page
Java Developer (Spring/OOP) ~ 2000$	Tầng 12, Tòa Diamond Flower, 48 Lê Văn Lương, Thanh Xuan, Ha Noi	iCheck	https://itviec.com/viec-lam-it/java-developer-spring-oop-2000-icheck-5938?lab_feature=preview_jd_page
Backend Developer (Java/ Spring/ Python)	Tầng 7, Tòa nhà Đào Duy Anh, số 9 Đào Duy Anh, Dong Da, Ha Noi	Bắc Á Bank 	https://itviec.com/viec-lam-it/backend-developer-java-spring-python-bac-a-bank-4051?lab_feature=preview_jd_page
2 Backend Dev (Java, Spring, SQL) ~$2000	Phòng 511 tầng 5 tòa nhà Toyota Mỹ Đình, số 15 Phạm Hùng, phường Mỹ Đình 2, Nam Tu Liem, Ha Noi	BlueBottle Digital Việt Nam	https://itviec.com/viec-lam-it/2-backend-dev-java-spring-sql-2000-bluebottle-digital-viet-nam-1830?lab_feature=preview_jd_page
Senior Java Developer (Spring, J2EE) ~ $2500	3rd floor, The Nine Tower, no.9 Pham Van Dong Street, Cau Giay District, Hanoi, Vietnam, Cau Giay, Ha Noi	GEM Corporation	https://itviec.com/viec-lam-it/senior-java-developer-spring-j2ee-2500-gem-corporation-3750?lab_feature=preview_jd_page
Java Developers (OOP, Oracle)	Thái Nam Building, 22D Dương Đình Nghệ, Yên Hoà, Cau Giay, Ha Noi	FORTNA	https://itviec.com/viec-lam-it/java-developers-oop-oracle-fortna-3346?lab_feature=preview_jd_page
Java Developer (Network/Spring boot/Microservices)	Leadvisors Tower, Level 15, 643 Pham Van Dong Street, Co Nhue Ward, Bac Tu Liem, Ha Noi	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/java-developer-network-spring-boot-microservices-hcl-vietnam-company-limited-4811?lab_feature=preview_jd_page
Java Developer (Network/Spring boot/Microservices)	Level 11, Five Star Tower, 28Bis Mac Dinh Chi Street, Da Kao Ward, District 1, Ho Chi Minh	HCL Vietnam Company Limited	https://itviec.com/viec-lam-it/java-developer-network-spring-boot-microservices-hcl-vietnam-company-limited-4811?lab_feature=preview_jd_page
[HN] Java/ Golang Developer	BIDV Tower, 194 Tran Quang Khai, Hoan Kiem, Ha Noi	OnePay	https://itviec.com/viec-lam-it/hn-java-golang-developer-onepay-3716?lab_feature=preview_jd_page
